timestamp,usuario,accion,tipo,info_extra
2023-11-27 23:26:09,<compositeEstructura.Documento object at 0x7f8dc02ef100>,Llamada a la función acceder,Función,Información específica de la función
timestamp,usuario,accion,tipo,info_extra
2023-11-27 23:30:13,,acceder - Confidencial.txt,Función,Información específica de la función - Confidencial.txt
timestamp,usuario,accion,tipo,info_extra
2023-11-28 09:52:26,,acceder - Confidencial.txt,Función,Información específica de la función - Confidencial.txt
2023-11-28 09:59:21,,acceder - Confidencial.txt,Función,Información específica de la función - Confidencial.txt
